food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g
7,"Calcium, Ca","Calcium, Ca",G,0.032,0.032
11,"Calcium, Ca","Calcium, Ca",G,0.047,0.046
1,"Carbohydrate, by difference","Calcium, Ca",G,0.056,0.048
1,"Calcium, Ca","Calcium, Ca",G,0.024,0.014
20,"Calcium, Ca","Calcium, Ca",G,0.015,0.019
20,"Calcium, Ca","Calcium, Ca",G,0.015,0.021
20,"Calcium, Ca","Calcium, Ca",G,0.015,0.022
20,"Calcium, Ca","Calcium, Ca",G,0.034,0.038
20,"Calcium, Ca","Calcium, Ca",G,0.015,0.019
20,"Calcium, Ca","Calcium, Ca",G,0.01,0.006
1,"Calcium, Ca","Calcium, Ca",G,0.024,0.021
16,"Calcium, Ca","Calcium, Ca",G,0.241,0.338
16,"Calcium, Ca","Calcium, Ca",G,0.206,0.258
20,"Calcium, Ca","Calcium, Ca",G,0.011,0.01
9,"Calcium, Ca","Calcium, Ca",G,0.005,0.005
9,"Calcium, Ca","Calcium, Ca",G,0.006,0.004656
9,"Calcium, Ca","Calcium, Ca",G,0.007,0.005975
9,"Calcium, Ca","Calcium, Ca",G,0.007,0.006639
9,"Calcium, Ca","Calcium, Ca",G,0.005,0.005483
9,"Calcium, Ca","Calcium, Ca",G,0.006,0.003874
11,"Calcium, Ca","Calcium, Ca",G,0.003,0
11,"Calcium, Ca","Calcium, Ca",G,0.002,0.0007663
11,"Calcium, Ca","Calcium, Ca",G,0.003,0.005465
16,"Calcium, Ca","Calcium, Ca",G,0.124,0.101
14,"Calcium, Ca","Calcium, Ca",G,0.197,0.1727
11,"Calcium, Ca","Calcium, Ca",G,0.099,0.06664
20,"Calcium, Ca","Calcium, Ca",G,0.027,0.03004
9,"Calcium, Ca","Calcium, Ca",G,0.008,0.007099
9,"Calcium, Ca","Calcium, Ca",G,0.011,0.01281
9,"Calcium, Ca","Calcium, Ca",G,0.011,0.009741
9,"Calcium, Ca","Calcium, Ca",G,0.008,0.006641
